name,year,highest_degree_offered,offers_bachelors_degree,offers_masters_degree,offers_doctors_degree_research_scholarship,offers_doctors_degree_professional_practice,applicants_total,admissions_total,enrolled_total,estimated_enrollment_total,tuition_and_fees_2013_14,total_price_for_in_state_students_living_on_campus_2013_14,total_price_for_out_of_state_students_living_on_campus_2013_14,state_abbreviation,control_of_institution,total_enrollment,full_time_enrollment,part_time_enrollment,undergraduate_enrollment,graduate_enrollment,full_time_undergraduate_enrollment,part_time_undergraduate_enrollment,percent_of_total_enrollment_that_are_women,percent_of_undergraduate_enrollment_that_are_women,percent_of_graduate_enrollment_that_are_women,graduation_rate_bachelor_degree_within_4_years_total,graduation_rate_bachelor_degree_within_5_years_total,graduation_rate_bachelor_degree_within_6_years_total
Alabama A & M University,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,6142.0,5521.0,1104.0,5024.0,7182.0,21849.0,27441.0,Alabama,Public,5020.0,4439.0,581.0,4051.0,969.0,3799.0,252.0,55.0,51.0,69.0,10.0,23.0,29.0
University of Alabama at Birmingham,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,5689.0,4934.0,1773.0,18568.0,7206.0,22495.0,31687.0,Alabama,Public,18568.0,11961.0,6607.0,11502.0,7066.0,8357.0,3145.0,61.0,58.0,64.0,29.0,46.0,53.0
Amridge University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,,,,626.0,6870.0,,,Alabama,Private not-for-profit,631.0,323.0,308.0,322.0,309.0,202.0,120.0,58.0,61.0,55.0,,,67.0
University of Alabama in Huntsville,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,2054.0,1656.0,651.0,7376.0,9192.0,23466.0,35780.0,Alabama,Public,7376.0,4802.0,2574.0,5696.0,1680.0,4237.0,1459.0,44.0,44.0,43.0,16.0,37.0,48.0
Alabama State University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,10245.0,5251.0,1479.0,6076.0,8720.0,18286.0,25222.0,Alabama,Public,6075.0,5182.0,893.0,5356.0,719.0,4872.0,484.0,61.0,59.0,71.0,9.0,19.0,25.0
The University of Alabama,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,30975.0,17515.0,6454.0,34752.0,9450.0,27000.0,41500.0,Alabama,Public,34752.0,29498.0,5254.0,29440.0,5312.0,26548.0,2892.0,55.0,54.0,58.0,43.0,62.0,67.0
Athens State University,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,,,,3175.0,,,,Alabama,Public,3170.0,1350.0,1820.0,3170.0,,1350.0,1820.0,65.0,65.0,,,,
Auburn University at Montgomery,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,1958.0,1639.0,579.0,5096.0,8750.0,17820.0,34020.0,Alabama,Public,5084.0,3223.0,1861.0,4322.0,762.0,2999.0,1323.0,63.0,62.0,69.0,10.0,22.0,27.0
Auburn University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,15745.0,13027.0,3726.0,24864.0,9852.0,25282.0,41794.0,Alabama,Public,24864.0,21093.0,3771.0,19799.0,5065.0,18011.0,1788.0,49.0,49.0,50.0,38.0,63.0,68.0
Birmingham Southern College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,1931.0,1240.0,356.0,1188.0,30690.0,45470.0,45470.0,Alabama,Private not-for-profit,1188.0,1167.0,21.0,1188.0,,1167.0,21.0,46.0,46.0,,53.0,60.0,62.0
Concordia College Alabama,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,,,,600.0,8090.0,18330.0,18330.0,Alabama,Private not-for-profit,600.0,543.0,57.0,600.0,,543.0,57.0,42.0,42.0,,10.0,14.0,14.0
Faulkner University,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,,,,3127.0,18230.0,31010.0,31010.0,Alabama,Private not-for-profit,3193.0,2321.0,872.0,2617.0,576.0,1803.0,814.0,62.0,63.0,58.0,11.0,21.0,23.0
Huntingdon College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,1470.0,923.0,261.0,1100.0,23500.0,33885.0,33885.0,Alabama,Private not-for-profit,1110.0,902.0,208.0,1110.0,,902.0,208.0,50.0,50.0,,30.0,40.0,43.0
Jacksonville State University,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,3083.0,2567.0,1158.0,8693.0,7092.0,21237.0,28029.0,Alabama,Public,8693.0,5982.0,2711.0,7588.0,1105.0,5779.0,1809.0,58.0,58.0,62.0,10.0,25.0,31.0
Judson College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,268.0,198.0,68.0,348.0,15630.0,28840.0,28840.0,Alabama,Private not-for-profit,347.0,262.0,85.0,347.0,,262.0,85.0,95.0,95.0,,38.0,41.0,41.0
University of West Alabama,2013,Master's degree,Yes,Yes,Implied no,Implied no,462.0,460.0,380.0,3998.0,7660.0,18162.0,24672.0,Alabama,Public,4427.0,3890.0,537.0,1999.0,2428.0,1696.0,303.0,72.0,57.0,85.0,18.0,28.0,30.0
Miles College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,,,,1677.0,11454.0,22318.0,22318.0,Alabama,Private not-for-profit,1666.0,1577.0,89.0,1666.0,,1577.0,89.0,48.0,48.0,,6.0,16.0,22.0
